,日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称,权重
497,2023-06-30,000906,中证800,CSI 800,000157,中联重科,Zoomlion Heavy Industry Science & Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.131
498,2023-06-30,000906,中证800,CSI 800,000301,东方盛虹,"Jiangsu Eastern Shenghong Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.122
499,2023-06-30,000906,中证800,CSI 800,000401,冀东水泥,Tangshan Jidong Cement Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.031
500,2023-06-30,000906,中证800,CSI 800,000513,丽珠集团,Livzon Pharmaceutical Group Inc,深圳证券交易所,Shenzhen Stock Exchange,0.057
501,2023-06-30,000906,中证800,CSI 800,000538,云南白药,"Yunnan Baiyao Group Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.147
502,2023-06-30,000906,中证800,CSI 800,000559,万向钱潮,Wanxiang Qianchao Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.028
503,2023-06-30,000906,中证800,CSI 800,000563,陕国投A,"Shaanxi International Trust Co.,Ltd",深圳证券交易所,Shenzhen Stock Exchange,0.024
504,2023-06-30,000906,中证800,CSI 800,000581,威孚高科,Weifu High-Technology Group Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.031
505,2023-06-30,000906,中证800,CSI 800,000625,长安汽车,Chongqing Changan Automobile Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.25
506,2023-06-30,000906,中证800,CSI 800,000629,钒钛股份,"Pangang Group Vanadium Titanium & Resources Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.065
507,2023-06-30,000906,中证800,CSI 800,000636,风华高科,Guangdong Fenghua Advanced Technology (Holding) Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.055
508,2023-06-30,000906,中证800,CSI 800,000725,京东方A,BOE Technology Group Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.597
509,2023-06-30,000906,中证800,CSI 800,000729,燕京啤酒,Beijing Yanjing Brewery Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.068
510,2023-06-30,000906,中证800,CSI 800,000568,泸州老窖,Luzhou Lao Jiao Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.6
511,2023-06-30,000906,中证800,CSI 800,601231,环旭电子,"Universal Scientific Industrial (Shanghai) Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange,0.039
512,2023-06-30,000906,中证800,CSI 800,300296,利亚德,"Leyard Optoelectronic Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.051
513,2023-06-30,000906,中证800,CSI 800,601012,隆基绿能,"Longi Green Energy Technology Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,0.677
514,2023-06-30,000906,中证800,CSI 800,603000,人民网,"People.cn CO.,LTD",上海证券交易所,Shanghai Stock Exchange,0.063
515,2023-06-30,000906,中证800,CSI 800,002673,西部证券,"WESTERN SECURITIES CO., LTD",深圳证券交易所,Shenzhen Stock Exchange,0.066
516,2023-06-30,000906,中证800,CSI 800,002653,海思科,"Haisco Pharmaceutical Group Co., Ltd",深圳证券交易所,Shenzhen Stock Exchange,0.02
517,2023-06-30,000906,中证800,CSI 800,601238,广汽集团,"Guangzhou Automobile Group Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,0.09
518,2023-06-30,000906,中证800,CSI 800,002683,广东宏大,"Guangdong Hongda Holdings Group Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.051
519,2023-06-30,000906,中证800,CSI 800,601800,中国交建,China Communications Construction Company Limited,上海证券交易所,Shanghai Stock Exchange,0.151
520,2023-06-30,000906,中证800,CSI 800,002648,卫星化学,"SATELLITE CHEMICAL CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange,0.098
521,2023-06-30,000906,中证800,CSI 800,300285,国瓷材料,"Shandong Sinocera Functional Material Co., Ltd",深圳证券交易所,Shenzhen Stock Exchange,0.086
522,2023-06-30,000906,中证800,CSI 800,601608,中信重工,"CITIC HEAVY INDUSTRIES CO., LTD.",上海证券交易所,Shanghai Stock Exchange,0.028
523,2023-06-30,000906,中证800,CSI 800,603077,和邦生物,"Sichuan Hebang Biotechnology Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange,0.058
524,2023-06-30,000906,中证800,CSI 800,002690,美亚光电,Hefei Meiya Optoelectronic Technology Inc.,深圳证券交易所,Shenzhen Stock Exchange,0.035
525,2023-06-30,000906,中证800,CSI 800,300347,泰格医药,"Hangzhou Tigermed Consulting Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.132
526,2023-06-30,000906,中证800,CSI 800,603993,洛阳钼业,"China Molybdenum Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,0.147
527,2023-06-30,000906,中证800,CSI 800,000333,美的集团,"Midea Group CO., LTD",深圳证券交易所,Shenzhen Stock Exchange,1.127
528,2023-06-30,000906,中证800,CSI 800,002705,新宝股份,"Guangdong Xinbao Electrical Appliances Holdings Co., Ltd",深圳证券交易所,Shenzhen Stock Exchange,0.023
529,2023-06-30,000906,中证800,CSI 800,300357,我武生物,"Zhejiang Wolwo Bio-pharmaceutical Co., Ltd",深圳证券交易所,Shenzhen Stock Exchange,0.041
530,2023-06-30,000906,中证800,CSI 800,300373,扬杰科技,"Yangzhou Yangjie Electronic Technology Co.,Ltd",深圳证券交易所,Shenzhen Stock Exchange,0.043
